"species","forest_abund","path_abund","road_abund","edge_abund","total_abund","forest_PA","path_PA","road_PA","edge_PA","total_PA","Mass","Hand.Wing.Index"
"Common Chaffinch",42,40,37,36,155,21,21,21,21,84,23.81,27.6
"Coal Tit",29,36,35,26,126,18,22,21,17,78,9.2,21.9
"European Robin",32,31,32,24,119,19,22,20,17,78,17.7,19.9
"Eurasian Blackbird",33,30,28,26,117,20,19,21,18,78,102.73,23.2
"Goldcrest",29,35,18,16,98,15,19,12,14,60,5.54,22
"Eurasian Wren",30,20,19,15,84,21,16,14,14,65,9.74,16.2
"Eurasian Blackcap",16,20,24,21,81,11,13,15,15,54,16.7,27
"Common Chiffchaff",19,17,21,22,79,14,14,15,17,60,8.3,18.4
"Mistle Thrush",16,10,11,19,56,13,9,10,16,48,117.37,35.1
"Great Tit",10,9,11,24,54,7,9,9,19,44,16.25,18.7
"Song Thrush",15,11,10,15,51,12,8,10,14,44,67.74,30.7
"Wood Pigeon",13,8,9,9,39,10,8,7,7,32,490,41.2
"Firecrest",14,4,8,10,36,13,3,6,9,31,5.6,22
"Crested Tit",14,10,5,4,33,11,9,5,4,29,11.04,19.8
"Great Spotted Woodpecker",9,8,7,8,32,7,8,7,8,30,74.94,29.3
"Blue Tit",3,5,5,18,31,3,5,5,11,24,11.1,21
"Eurasian Treecreeper",10,7,6,1,24,9,5,6,1,21,9,19.2
"Eurasian Jay",5,6,7,4,22,4,6,4,4,18,159.46,19.2
"Red Crossbill",7,2,1,3,13,5,1,1,3,10,38.29,37.6
"Eurasian Siskin",2,5,2,4,13,2,3,1,4,10,13.24,36.5
"Greenfinch",2,1,4,5,12,2,1,4,4,11,26,32.5
"Short-toed Treecreeper",4,4,0,4,12,3,4,0,4,11,8.2,17.7
"Eurasian Nuthatch",2,5,0,3,10,2,4,0,3,9,20.37,23.6
"Eurasian Bullfinch",3,2,4,1,10,3,2,3,1,9,24.26,24.9
"Carrion Crow",1,0,1,7,9,1,0,1,5,7,570,36.9
"Common Redstart",1,0,3,4,8,1,0,1,3,5,14.59,25.8
"Dunnock",0,1,4,2,7,0,1,4,2,7,20.24,21.2
"Eurasian Skylark",0,0,0,7,7,0,0,0,5,5,37.31,34.7
"Fieldfare",0,0,0,6,6,0,0,0,4,4,106,33.3
"Goldfinch",2,0,1,2,5,1,0,1,2,4,16,33.4
"Long-tailed Tit",0,2,1,2,5,0,2,1,2,5,8.6,21.6
"Common Buzzard",2,0,1,1,4,1,0,1,1,3,759.1,38.2
"Hawfinch",0,0,2,2,4,0,0,2,2,4,56.63,32.9
"Willow Warbler",0,0,1,2,3,0,0,1,2,3,8.7,25.9
"Yellowhammer",0,0,0,3,3,0,0,0,3,3,29.7,25.7
"Spotted Flycatcher",1,1,0,1,3,1,1,0,1,3,15.9,30.2
"Marsh Tit",1,0,1,1,3,1,0,1,1,3,11.14,17.9
"Green Woodpecker",0,1,0,1,2,0,1,0,1,2,176,25.3
"Common Raven",1,0,1,0,2,1,0,1,0,2,927.97,39.8
"Black Redstart",0,0,1,1,2,0,0,1,1,2,16.5,23.1
"Garden Warbler",0,1,0,1,2,0,1,0,1,2,18.2,30
"Black Woodpecker",1,0,1,0,2,1,0,1,0,2,321,26.4
"Rook",0,0,0,1,1,0,0,0,1,1,452.1,41
"Eurasian Magpie",0,0,1,0,1,0,0,1,0,1,217.48,22.9
"Hooded Crow",0,0,0,1,1,0,0,0,1,1,570,36.9
"Willow Tit",0,0,1,0,1,0,0,1,0,1,11.1,17.7
